artist,song,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seconds,tempo_class,key_name,mode_name,tonality,acoustic,blues,classical,country,dance,easy listening,electronic,folk,hip hop,jazz,latin,metal,pop,r&b,rock,traditional,world
backstreet boys,shape of my heart,False,2000,0.786,0.527,0.774,0.798,0.012,0.258,0.0,0.165,0.513,96,230,Moderato,A,Major,A Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
creed,with arms wide open,False,1999,0.719,0.332,0.513,0.598,0.013,0.004,0.001,0.115,0.11,139,274,Veloce (Allegro),C,Major,C Major,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
corrs,breathless,False,2000,0.764,0.565,0.81,0.63,0.066,0.055,0.0,0.298,0.781,127,207,Veloce (Allegro),B,Major,B Major,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
joe,i wanna know,False,2000,0.73,0.704,0.458,0.719,0.025,0.266,0.0,0.492,0.6,136,296,Veloce (Allegro),G#,Minor,G# Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
wheatus,teenage dirtbag,True,1999,0.798,0.586,0.842,0.821,0.048,0.354,0.0,0.183,0.636,95,241,Moderato,E,Major,E Major,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
christina aguilera,come on over baby (all i want is you) - radio version,False,1999,0.719,0.827,0.911,0.855,0.15,0.232,0.0,0.27,0.792,119,203,Allegretto,G#,Major,G# Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
creed,higher,False,1999,0.775,0.39,0.821,0.705,0.024,0.0,0.0,0.222,0.42,156,316,Veloce (Allegro),D,Major,D Major,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
britney spears,lucky,False,2000,0.73,0.752,0.78,0.732,0.015,0.268,0.0,0.055,0.992,95,206,Moderato,G#,Major,G# Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nelly,country grammar (hot shit),True,2000,0.764,0.87,0.645,0.676,0.153,0.007,0.0,0.145,0.564,163,287,Vivace,D,Major,D Major,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
shaggy,it wasn't me,False,2000,0.854,0.856,0.584,0.786,0.087,0.058,0.0,0.351,0.659,95,227,Moderato,C,Major,C Major,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
